datetime,currency,title,impact,forecast,previous,actual
2009-07-01 00:00,AUD,Retail Sales m/m,High,0.5%,0.3%,1.0%
2009-07-01 00:00,GBP,Index of Services 3m/3m,Low,0.2%,-1.6%,-1.2%
2009-07-01 00:00,JPY,Tankan Non-Manufacturing Index,Medium,-26,-31,-29
2009-07-01 00:00,USD,Construction Spending m/m,Low,-0.5%,0.6%,-0.9%
2009-07-01 00:00,USD,Crude Oil Inventories,Medium,-1.8M,-3.8M,-3.7M
2009-07-01 00:00,USD,ISM Manufacturing Prices,Low,46.8,43.5,50.0
2009-07-01 00:00,USD,Pending Home Sales m/m,High,0.7%,7.1%,0.1%
2009-07-01 02:00,EUR,German Retail Sales m/m,Medium,0.0%,0.5%,0.4%
2009-07-01 02:30,AUD,Commodity Prices y/y,Medium,,-23.4%,-29.3%
2009-07-01 03:15,EUR,Spanish Manufacturing PMI,Low,,39.8,42.8
2009-07-01 03:30,CHF,Manufacturing PMI,Medium,41.1,39.8,41.8
2009-07-01 03:45,EUR,Italian Manufacturing PMI,Low,42.5,41.1,42.7
2009-07-01 03:50,EUR,French Final Manufacturing PMI,Low,45.5,45.5,45.9
2009-07-01 03:55,EUR,German Final Manufacturing PMI,Low,40.5,40.5,40.9
2009-07-01 04:00,EUR,Final Manufacturing PMI,Low,42.4,42.4,42.6
2009-07-01 04:30,GBP,Final Manufacturing PMI,High,46.4,45.4,47.0
2009-07-01 05:09,EUR,German 10-y Bond Auction,Low,,3.54|1.8,3.40|1.3
2009-07-01 07:30,USD,Challenger Job Cuts y/y,Low,,7.4%,-9.0%
2009-07-01 08:15,USD,ADP Non-Farm Employment Change,High,-388K,-485K,-473K
2009-07-01 10:00,USD,ISM Manufacturing PMI,High,44.5,42.8,44.8
2009-07-01 10:30,NZD,GDT Price Index,Low,,-11.8%,-3.0%
2009-07-01 11:15,USD,FOMC Member Evans Speaks,Medium,,,
2009-07-01 15:29,USD,Total Vehicle Sales,Low,9.8M,9.9M,9.7M
2009-07-01 19:50,JPY,Monetary Base y/y,Low,8.1%,7.9%,6.4%
2009-07-01 21:30,AUD,Goods Trade Balance,High,-0.10B,-0.28B,-0.56B
2009-07-01 23:06,NZD,ANZ Commodity Prices m/m,Low,,2.8%,0.2%
2009-07-01 23:45,JPY,10-y Bond Auction,Low,,1.53|3.4,1.35|2.3
2009-07-02 00:00,EUR,PPI m/m,Low,0.1%,-0.9%,-0.2%
2009-07-02 00:00,EUR,Unemployment Rate,Low,9.3%,9.3%,9.5%
2009-07-02 00:00,GBP,MPC Member Miles Speaks,Medium,,,
2009-07-02 00:00,USD,Average Hourly Earnings m/m,Medium,0.2%,0.2%,0.0%
2009-07-02 00:00,USD,Non-Farm Employment Change,High,-360K,-322K,-467K
2009-07-02 00:00,USD,Unemployment Claims,Medium,612K,630K,614K
2009-07-02 00:00,USD,Unemployment Rate,High,9.6%,9.4%,9.5%
2009-07-02 02:30,CHF,Gov Board Member Jordan Speaks,Medium,,,
2009-07-02 03:00,EUR,Spanish Unemployment Change,Low,,-24.7K,-55.3K
2009-07-02 04:25,GBP,MPC Member Besley Speaks,Medium,,,
2009-07-02 04:30,GBP,BOE Credit Conditions Survey,Medium,,,
2009-07-02 04:32,GBP,Construction PMI,Medium,46.1,45.9,44.5
2009-07-02 05:00,CHF,SNB Quarterly Bulletin,Low,,,
2009-07-02 05:02,EUR,French 10-y Bond Auction,Low,,3.67|1.6,3.82|1.7
2009-07-02 05:38,GBP,30-y Bond Auction,Low,,4.44|2.0,4.46|1.8
2009-07-02 07:45,EUR,Main Refinancing Rate,High,1.00%,1.00%,1.00%
2009-07-02 08:30,EUR,ECB Press Conference,High,,,
2009-07-02 10:00,USD,Factory Orders m/m,Medium,0.7%,0.5%,1.2%
2009-07-02 10:30,USD,Natural Gas Storage,Low,74B,94B,70B
2009-07-02 19:30,AUD,AIG Services Index,Low,,39.9,50.2
2009-07-02 21:00,CNY,Non-Manufacturing PMI,Low,,60.9,55.4
2009-07-03 00:00,EUR,Spanish Services PMI,Low,,39.1,41.2
2009-07-03 00:00,GBP,Housing Equity Withdrawal q/q,Low,-8.9B,-7.8B,-8.1B
2009-07-03 03:15,CHF,CPI m/m,Medium,0.1%,0.2%,0.2%
2009-07-03 03:45,EUR,Italian Services PMI,Low,42.9,43.1,42.3
2009-07-03 03:50,EUR,French Final Services PMI,Low,47.5,47.5,47.2
2009-07-03 03:55,EUR,German Final Services PMI,Low,44.3,44.3,45.2
2009-07-03 04:00,EUR,Final Services PMI,Low,44.5,44.5,44.7
