datetime,currency,title,impact,forecast,previous,actual
2020-03-05 04:48,EUR,Spanish 10-y Bond Auction,Low,,0.24|2.3,0.17|1.4
2020-03-05 05:01,EUR,French 10-y Bond Auction,Low,,-0.11|2.2,-0.32|2.2
2020-03-05 07:30,USD,Challenger Job Cuts y/y,Low,,27.8%,-26.3%
2020-03-05 08:00,GBP,MPC Member Haldane Speaks,Low,,,
2020-03-05 08:30,USD,Revised Nonfarm Productivity q/q,Low,1.4%,1.4%,1.2%
2020-03-05 10:00,USD,Factory Orders m/m,Low,-0.2%,1.9%,-0.5%
2020-03-05 10:30,USD,Natural Gas Storage,Low,-112B,-143B,-109B
2020-03-05 12:00,GBP,BOE Gov Carney Speaks,High,,,
2020-03-05 12:45,CAD,BOC Gov Poloz Speaks,High,,,
2020-03-05 15:29,All,OPEC Meetings,High,,,
2020-03-05 16:30,AUD,AIG Services Index,Low,,47.4,47.0
2020-03-05 18:30,JPY,Average Cash Earnings y/y,Low,0.2%,-0.2%,1.5%
2020-03-05 19:30,AUD,Retail Sales m/m,High,0.0%,-0.7%,-0.3%
2020-03-05 20:00,USD,FOMC Member Kashkari Speaks,Low,,,
2020-03-05 20:45,USD,FOMC Member Williams Speaks,Low,,,
2020-03-06 00:00,CAD,Trade Balance,High,-0.8B,-0.7B,-1.5B
2020-03-06 00:00,CAD,Unemployment Rate,High,5.6%,5.5%,5.6%
2020-03-06 00:00,JPY,Household Spending y/y,Low,-3.9%,-4.8%,-3.9%
2020-03-06 00:00,USD,Average Hourly Earnings m/m,High,0.3%,0.2%,0.3%
2020-03-06 00:00,USD,FOMC Member Kaplan Speaks,Medium,,,
2020-03-06 00:00,USD,Final Wholesale Inventories m/m,Low,-0.2%,-0.2%,-0.4%
2020-03-06 00:00,USD,Non-Farm Employment Change,High,175K,273K,273K
2020-03-06 00:00,USD,Trade Balance,Low,-46.3B,-48.6B,-45.3B
2020-03-06 00:00,USD,Unemployment Rate,High,3.6%,3.6%,3.5%
2020-03-06 00:02,JPY,Leading Indicators,Low,91.3%,91.6%,90.3%
2020-03-06 02:00,EUR,German Factory Orders m/m,Low,1.5%,-2.1%,5.5%
2020-03-06 02:45,EUR,French Trade Balance,Low,-4.9B,-3.7B,-5.9B
2020-03-06 03:00,CHF,Foreign Currency Reserves,Low,,764B,769B
2020-03-06 03:30,GBP,Halifax HPI m/m,Low,0.3%,0.4%,0.3%
2020-03-06 04:03,EUR,Italian Retail Sales m/m,Low,0.3%,0.5%,0.0%
2020-03-06 08:30,CAD,Employment Change,High,10.5K,34.5K,30.3K
2020-03-06 10:00,CAD,Ivey PMI,Low,55.2,57.3,54.1
2020-03-06 14:00,USD,FOMC Member Williams Speaks,Low,,,
2020-03-06 15:00,USD,Consumer Credit m/m,Low,16.6B,20.3B,12.0B
2020-03-06 15:29,All,G20 Meetings,Medium,,,
2020-03-06 15:29,All,OPEC-JMMC Meetings,Medium,,,
2020-03-06 22:04,CNY,Trade Balance,High,,329B,-43B
2020-03-06 22:05,CNY,USD-Denominated Trade Balance,Medium,,46.8B,-7.1B
2020-03-08 19:50,JPY,Bank Lending y/y,Low,1.9%,1.9%,2.1%
2020-03-08 19:52,JPY,Final GDP Price Index y/y,Low,1.3%,1.3%,1.2%
2020-03-09 00:00,EUR,German Trade Balance,Low,18.8B,19.0B,18.5B
2020-03-09 00:00,JPY,Current Account,Low,1.66T,1.85T,1.63T
2020-03-09 00:00,JPY,Final GDP q/q,Low,-1.7%,-1.6%,-1.8%
2020-03-09 01:03,JPY,Economy Watchers Sentiment,Low,35.6,41.9,27.4
