datetime,currency,title,impact,forecast,previous,actual
2013-01-01 17:30,AUD,AIG Manufacturing Index,Low,,44.3,44.3
2013-01-02 00:00,USD,Construction Spending m/m,Low,0.6%,0.7%,-0.3%
2013-01-02 00:00,USD,ISM Manufacturing Prices,Low,51.4,52.5,55.5
2013-01-02 00:30,AUD,Commodity Prices y/y,Low,,-10.3%,-8.0%
2013-01-02 03:00,EUR,Spanish Flash CPI y/y,Low,2.9%,2.9%,2.9%
2013-01-02 03:15,EUR,Spanish Manufacturing PMI,Medium,44.9,45.3,44.6
2013-01-02 03:45,EUR,Italian Manufacturing PMI,Medium,45.4,45.1,46.7
2013-01-02 03:50,EUR,French Final Manufacturing PMI,Low,44.6,44.6,44.6
2013-01-02 03:55,EUR,German Final Manufacturing PMI,Low,46.3,46.3,46.0
2013-01-02 04:00,EUR,Final Manufacturing PMI,Low,46.3,46.3,46.1
2013-01-02 04:30,GBP,Final Manufacturing PMI,High,49.2,49.2,51.4
2013-01-02 08:30,NZD,GDT Price Index,Low,,0.3%,1.6%
2013-01-02 09:00,USD,Final Manufacturing PMI,Low,53.2,54.2,54.0
2013-01-02 09:30,CAD,Manufacturing PMI,Low,,50.4,50.4
2013-01-02 10:00,USD,ISM Manufacturing PMI,High,50.2,49.5,50.7
2013-01-02 15:29,EUR,German Prelim CPI m/m,Medium,0.7%,-0.1%,0.9%
2013-01-02 20:00,CNY,Non-Manufacturing PMI,Low,,55.6,56.1
2013-01-03 00:00,EUR,Private Loans y/y,Low,-0.5%,-0.8%,-0.8%
2013-01-03 00:00,EUR,Spanish Unemployment Change,Medium,50.3K,74.3K,-59.1K
2013-01-03 00:00,GBP,BOE Credit Conditions Survey,Medium,,,
2013-01-03 02:00,GBP,Nationwide HPI m/m,Medium,0.1%,0.0%,-0.1%
2013-01-03 03:00,CHF,KOF Economic Barometer,Medium,1.39,1.50,1.28
2013-01-03 03:30,CHF,Manufacturing PMI,Medium,48.7,48.5,49.5
2013-01-03 03:55,EUR,German Unemployment Change,Medium,11K,5K,3K
2013-01-03 04:00,EUR,M3 Money Supply y/y,Medium,3.8%,3.9%,3.8%
2013-01-03 04:30,GBP,Construction PMI,High,49.6,49.3,48.7
2013-01-03 05:00,EUR,French 10-y Bond Auction,Medium,,2.22|2.0,2.07|1.7
2013-01-03 07:30,USD,Challenger Job Cuts y/y,Low,,34.4%,-22.1%
2013-01-03 08:15,USD,ADP Non-Farm Employment Change,High,134K,148K,215K
2013-01-03 08:30,USD,Unemployment Claims,High,356K,362K,372K
2013-01-03 14:00,USD,FOMC Meeting Minutes,High,,,
