datetime,currency,title,impact,forecast,previous,actual
2024-09-01 18:50,JPY,Capital Spending q/y,Low,9.6%,6.8%,7.4%
2024-09-01 19:30,JPY,Final Manufacturing PMI,Low,49.5,49.5,49.8
2024-09-01 20:00,AUD,MI Inflation Gauge m/m,Low,,0.4%,-0.1%
2024-09-01 20:30,AUD,ANZ Job Advertisements m/m,Low,,-2.7%,-2.1%
2024-09-01 20:45,CNY,Caixin Manufacturing PMI,Low,50.0,49.8,50.4
2024-09-02 00:00,AUD,Building Approvals m/m,Low,2.4%,-6.4%,10.4%
2024-09-02 00:00,AUD,Company Operating Profits q/q,Low,-0.6%,-2.5%,-5.3%
2024-09-02 01:30,CHF,Retail Sales y/y,Low,-0.2%,-2.6%,2.7%
2024-09-02 01:32,AUD,Commodity Prices y/y,Low,,-4.2%,-5.2%
2024-09-02 02:15,EUR,Spanish Manufacturing PMI,Low,51.4,51.0,50.5
2024-09-02 02:30,CHF,Manufacturing PMI,Low,43.7,43.5,49.0
2024-09-02 02:45,EUR,Italian Manufacturing PMI,Low,48.0,47.4,49.4
2024-09-02 02:50,EUR,French Final Manufacturing PMI,Low,42.1,42.1,43.9
2024-09-02 02:55,EUR,German Final Manufacturing PMI,Low,42.1,42.1,42.4
2024-09-02 03:00,EUR,Final Manufacturing PMI,Low,45.6,45.6,45.8
2024-09-02 03:30,GBP,Final Manufacturing PMI,Low,52.5,52.5,52.5
2024-09-02 17:45,NZD,Overseas Trade Index q/q,Low,2.6%,5.1%,2.1%
2024-09-02 18:01,GBP,BRC Retail Sales Monitor y/y,Low,0.7%,0.3%,0.8%
2024-09-02 18:50,JPY,Monetary Base y/y,Low,0.6%,1.0%,0.6%
2024-09-02 20:30,AUD,Current Account,Low,-4.5B,-6.3B,-10.7B
2024-09-02 22:35,JPY,10-y Bond Auction,Low,,0.93|3.0,0.92|3.2
2024-09-03 00:00,EUR,Spanish Unemployment Change,Low,34.3K,-10.8K,21.9K
2024-09-03 00:00,USD,Construction Spending m/m,Low,0.1%,0.0%,-0.3%
2024-09-03 00:00,USD,ISM Manufacturing Prices,Medium,52.1,52.9,54.0
2024-09-03 01:30,CHF,CPI m/m,High,0.1%,-0.2%,0.0%
2024-09-03 01:45,EUR,French Gov Budget Balance,Low,,-103.5B,-156.9B
2024-09-03 02:00,CHF,GDP q/q,Medium,0.5%,0.5%,0.7%
2024-09-03 08:30,CAD,Manufacturing PMI,Low,,47.8,49.5
2024-09-03 08:45,USD,Final Manufacturing PMI,Low,48.1,48.0,47.9
2024-09-03 09:00,USD,ISM Manufacturing PMI,High,47.5,46.8,47.2
2024-09-03 09:07,USD,RCM/TIPP Economic Optimism,Low,46.2,44.5,46.1
2024-09-03 10:54,NZD,GDT Price Index,Low,,5.5%,-0.4%
2024-09-03 11:45,EUR,German Buba President Nagel Speaks,Low,,,
2024-09-03 20:00,NZD,ANZ Commodity Prices m/m,Low,,-1.7%,2.1%
2024-09-03 20:30,AUD,GDP q/q,High,0.2%,0.2%,0.2%
2024-09-03 20:45,CNY,Caixin Services PMI,Low,51.9,52.1,51.6
2024-09-04 00:00,CAD,Overnight Rate,High,4.25%,4.50%,4.25%
2024-09-04 00:00,USD,Factory Orders m/m,Low,4.7%,-3.3%,5.0%
2024-09-04 00:00,USD,Trade Balance,Low,-78.8B,-73.0B,-78.8B
2024-09-04 02:15,EUR,Spanish Services PMI,Low,54.8,53.9,54.6
2024-09-04 02:45,EUR,Italian Services PMI,Low,52.5,51.7,51.4
2024-09-04 02:50,EUR,French Final Services PMI,Low,55.0,55.0,55.0
2024-09-04 02:55,EUR,German Final Services PMI,Low,51.4,51.4,51.2
2024-09-04 03:00,EUR,Final Services PMI,Low,53.3,53.3,52.9
2024-09-04 03:30,GBP,Final Services PMI,Low,53.3,53.3,53.7
2024-09-04 04:00,EUR,PPI m/m,Low,0.3%,0.6%,0.8%
2024-09-04 07:30,CAD,Trade Balance,Low,0.7B,-0.2B,0.7B
2024-09-04 08:45,CAD,BOC Rate Statement,High,,,
2024-09-04 09:00,USD,JOLTS Job Openings,High,8.09M,7.91M,7.67M
2024-09-04 09:30,CAD,BOC Press Conference,High,,,
2024-09-04 13:00,USD,Beige Book,Low,,,
2024-09-04 15:29,USD,Wards Total Vehicle Sales,Low,15.4M,15.8M,15.1M
2024-09-04 18:30,JPY,Average Cash Earnings y/y,Low,3.0%,4.5%,3.6%
2024-09-04 20:30,AUD,Goods Trade Balance,Low,5.05B,5.43B,6.01B
2024-09-04 22:05,AUD,RBA Gov Bullock Speaks,High,,,
2024-09-04 22:35,JPY,30-y Bond Auction,Low,,2.23|3.5,2.04|3.4
2024-09-05 00:00,EUR,Retail Sales m/m,Low,0.1%,-0.4%,0.1%
2024-09-05 00:00,USD,API Weekly Statistical Bulletin,Low,,,
2024-09-05 00:00,USD,Revised Nonfarm Productivity q/q,Low,2.4%,2.3%,2.5%
2024-09-05 00:00,USD,Revised Unit Labor Costs q/q,Low,0.8%,0.9%,0.4%
2024-09-05 00:00,USD,Unemployment Claims,High,231K,232K,227K
2024-09-05 00:45,CHF,Unemployment Rate,Low,2.5%,2.5%,2.5%
2024-09-05 01:00,EUR,German Factory Orders m/m,Low,-1.6%,4.6%,2.9%
2024-09-05 03:30,GBP,Construction PMI,Medium,54.6,55.3,53.6
2024-09-05 03:52,EUR,Spanish 10-y Bond Auction,Low,,3.11|1.5,3.04|2.1
2024-09-05 04:00,AUD,RBA Gov Bullock Speaks,Low,,,
2024-09-05 04:02,EUR,French 10-y Bond Auction,Low,,3.01|2.2,2.95|2.2
2024-09-05 06:30,USD,Challenger Job Cuts y/y,Low,,9.2%,1.0%
2024-09-05 07:15,USD,ADP Non-Farm Employment Change,High,144K,111K,99K
2024-09-05 07:30,CAD,Labor Productivity q/q,Low,-0.1%,-0.3%,-0.2%
2024-09-05 08:45,USD,Final Services PMI,Medium,55.0,55.2,55.7
2024-09-05 09:00,USD,ISM Services PMI,High,51.3,51.4,51.5
2024-09-05 09:30,USD,Natural Gas Storage,Low,26B,35B,13B
2024-09-05 10:00,USD,Crude Oil Inventories,Medium,-0.6M,-0.8M,-6.9M
2024-09-05 18:30,JPY,Household Spending y/y,Low,1.2%,-1.4%,0.1%
2024-09-06 00:00,CAD,Unemployment Rate,High,6.5%,6.4%,6.6%
2024-09-06 00:00,CHF,SECO Consumer Climate,Low,-33,-32,-35
2024-09-06 00:00,EUR,French Trade Balance,Low,-6.5B,-6.0B,-5.9B
2024-09-06 00:00,EUR,German Trade Balance,Low,21.0B,20.4B,16.8B
2024-09-06 00:00,EUR,Revised GDP q/q,Low,0.3%,0.3%,0.2%
2024-09-06 00:00,GBP,Halifax HPI m/m,Low,0.2%,0.9%,0.3%
2024-09-06 00:00,JPY,Leading Indicators,Low,109.4%,109.0%,109.5%
2024-09-06 00:00,USD,Average Hourly Earnings m/m,High,0.3%,0.2%,0.4%
2024-09-06 00:00,USD,Non-Farm Employment Change,High,164K,89K,142K
2024-09-06 00:00,USD,Unemployment Rate,High,4.2%,4.3%,4.2%
2024-09-06 01:00,EUR,German Industrial Production m/m,Low,-0.4%,1.7%,-2.4%
2024-09-06 01:45,EUR,French Industrial Production m/m,Low,-0.3%,0.8%,-0.5%
2024-09-06 02:00,CHF,Foreign Currency Reserves,Low,,704B,694B
2024-09-06 03:00,EUR,Italian Retail Sales m/m,Low,0.1%,-0.2%,0.5%
2024-09-06 04:00,EUR,Final Employment Change q/q,Low,0.2%,0.2%,0.2%
2024-09-06 07:30,CAD,Employment Change,High,23.7K,-2.8K,22.1K
2024-09-06 07:45,USD,FOMC Member Williams Speaks,Medium,,,
2024-09-06 09:00,CAD,Ivey PMI,Medium,55.3,57.6,48.2
2024-09-06 10:00,USD,FOMC Member Waller Speaks,High,,,
2024-09-08 18:50,JPY,Bank Lending y/y,Low,3.2%,3.2%,3.0%
2024-09-08 20:30,CNY,CPI y/y,Medium,0.7%,0.5%,0.6%
2024-09-09 00:00,CNY,PPI y/y,Medium,-1.5%,-0.8%,-1.8%
2024-09-09 00:00,JPY,Current Account,Low,2.08T,1.78T,2.80T
2024-09-09 00:00,JPY,Economy Watchers Sentiment,Low,47.6,47.5,49.0
2024-09-09 00:00,JPY,Final GDP Price Index y/y,Low,3.0%,3.0%,3.2%
2024-09-09 00:00,JPY,Final GDP q/q,Low,0.8%,0.8%,0.7%
2024-09-09 03:30,EUR,Sentix Investor Confidence,Low,-12.4,-13.9,-15.4
2024-09-09 09:00,USD,Final Wholesale Inventories m/m,Low,0.3%,0.3%,0.2%
2024-09-09 14:00,USD,Consumer Credit m/m,Low,12.3B,5.2B,25.5B
2024-09-09 17:45,NZD,Manufacturing Sales q/q,Low,,0.8%,0.1%
2024-09-09 18:50,JPY,M2 Money Stock y/y,Low,1.5%,1.5%,1.3%
2024-09-09 19:30,AUD,Westpac Consumer Sentiment,Low,,2.8%,-0.5%
2024-09-09 20:30,AUD,NAB Business Confidence,Low,,1,-4
2024-09-09 22:17,CNY,USD-Denominated Trade Balance,Low,81.4B,84.7B,91.0B
2024-09-09 22:18,CNY,Trade Balance,Low,579B,602B,649B
2024-09-10 00:00,GBP,Average Earnings Index 3m/y,Medium,4.1%,4.6%,4.0%
2024-09-10 00:00,GBP,Claimant Count Change,High,95.5K,102.3K,23.7K
2024-09-10 00:00,GBP,MPC Member Breeden Speaks,Low,,,
2024-09-10 00:00,GBP,Unemployment Rate,Low,4.1%,4.2%,4.1%
2024-09-10 00:58,JPY,Prelim Machine Tool Orders y/y,Low,,8.4%,-3.5%
2024-09-10 01:00,EUR,German Final CPI m/m,Low,-0.1%,-0.1%,-0.1%
2024-09-10 03:00,EUR,Italian Industrial Production m/m,Low,-0.2%,0.5%,-0.9%
2024-09-10 04:59,USD,NFIB Small Business Index,Low,93.6,93.7,91.2
2024-09-10 06:00,GBP,BOE Quarterly Bulletin,Low,,,
2024-09-10 07:10,CAD,BOC Gov Macklem Speaks,High,,,
2024-09-10 09:00,USD,FOMC Member Barr Speaks,Low,,,
2024-09-10 11:15,USD,FOMC Member Bowman Speaks,Low,,,
2024-09-10 17:45,NZD,Visitor Arrivals m/m,Low,,0.5%,2.2%
2024-09-10 18:45,NZD,Visitor Arrivals m/m,,,0.5%,2.2%
2024-09-10 19:20,AUD,RBA Assist Gov Hunter Speaks,Low,,,
2024-09-10 20:20,AUD,RBA Assist Gov Hunter Speaks,,,,
2024-09-11 00:00,GBP,Construction Output m/m,Low,0.4%,0.5%,-0.4%
2024-09-11 00:00,GBP,Goods Trade Balance,Low,-18.0B,-18.9B,-20.0B
2024-09-11 00:00,GBP,Index of Services 3m/3m,Low,0.6%,0.8%,0.6%
2024-09-11 00:00,GBP,Industrial Production m/m,Low,0.3%,0.8%,-0.8%
2024-09-11 00:00,GBP,Manufacturing Production m/m,Low,0.2%,1.1%,-1.0%
2024-09-11 00:00,USD,API Weekly Statistical Bulletin,Low,,,
2024-09-11 00:00,USD,CPI m/m,High,0.2%,0.2%,0.2%
2024-09-11 00:00,USD,CPI y/y,High,2.5%,2.9%,2.5%
2024-09-11 01:00,GBP,GDP m/m,High,0.2%,0.0%,0.0%
2024-09-11 02:00,GBP,Construction Output m/m,,0.4%,0.5%,-0.4%
2024-09-11 02:00,GBP,GDP m/m,,0.2%,0.0%,0.0%
2024-09-11 02:00,GBP,Goods Trade Balance,,-18.0B,-18.9B,-20.0B
2024-09-11 02:00,GBP,Index of Services 3m/3m,,0.6%,0.8%,0.6%
2024-09-11 02:00,GBP,Industrial Production m/m,,0.3%,0.8%,-0.8%
2024-09-11 02:00,GBP,Manufacturing Production m/m,,0.2%,1.1%,-1.0%
2024-09-11 04:03,GBP,10-y Bond Auction,Low,,4.08|2.9,3.76|2.8
2024-09-11 04:33,EUR,German 10-y Bond Auction,Low,,2.22|2.0,2.11|2.1
2024-09-11 05:03,GBP,10-y Bond Auction,,,4.08|2.9,3.76|2.8
2024-09-11 05:33,EUR,German 10-y Bond Auction,,,2.22|2.0,2.11|2.1
2024-09-11 06:18,GBP,NIESR GDP Estimate,Low,,0.5%,0.3%
2024-09-11 07:18,GBP,NIESR GDP Estimate,,,0.5%,0.3%
2024-09-11 07:30,USD,Core CPI m/m,High,0.2%,0.2%,0.3%
2024-09-11 08:30,GBP,CB Leading Index m/m,Low,,-0.1%,-0.3%
2024-09-11 08:30,USD,CPI m/m,,0.2%,0.2%,0.2%
2024-09-11 08:30,USD,CPI y/y,,2.5%,2.9%,2.5%
2024-09-11 08:30,USD,Core CPI m/m,,0.2%,0.2%,0.3%
2024-09-11 09:30,GBP,CB Leading Index m/m,,,-0.1%,-0.3%
2024-09-11 09:30,USD,Crude Oil Inventories,Medium,0.9M,-6.9M,0.8M
2024-09-11 10:30,USD,Crude Oil Inventories,,0.9M,-6.9M,0.8M
2024-09-11 12:01,USD,10-y Bond Auction,Low,,3.96|2.3,3.65|2.6
2024-09-11 13:01,USD,10-y Bond Auction,,,3.96|2.3,3.65|2.6
2024-09-11 17:45,NZD,FPI m/m,Low,,0.4%,0.2%
2024-09-11 18:01,GBP,RICS House Price Balance,Low,-14%,-18%,1%
2024-09-11 18:50,JPY,BSI Manufacturing Index,Low,-2.5,-1.0,4.5
2024-09-11 20:00,AUD,MI Inflation Expectations,Low,,4.5%,4.4%
2024-09-12 00:00,EUR,Monetary Policy Statement,High,,,
2024-09-12 00:00,JPY,PPI y/y,Low,2.8%,3.0%,2.5%
2024-09-12 00:00,USD,Core PPI m/m,High,0.2%,-0.2%,0.3%
2024-09-12 00:00,USD,PPI m/m,High,0.1%,0.0%,0.2%
2024-09-12 00:00,USD,Unemployment Claims,High,227K,228K,230K
2024-09-12 01:00,EUR,German WPI m/m,Low,0.1%,0.3%,-0.8%
2024-09-12 03:05,EUR,Italian Quarterly Unemployment Rate,Low,7.1%,7.2%,6.8%
2024-09-12 07:00,USD,Federal Budget Balance,Low,-285.7B,-243.7B,-380.1B
2024-09-12 07:15,EUR,Main Refinancing Rate,High,3.65%,4.25%,3.65%
2024-09-12 07:30,CAD,Building Permits m/m,Low,6.5%,-13.0%,22.1%
2024-09-12 07:45,EUR,ECB Press Conference,High,,,
2024-09-12 09:25,CHF,SNB Chairman Jordan Speaks,Medium,,,
2024-09-12 09:30,USD,Natural Gas Storage,Low,49B,13B,40B
2024-09-12 12:01,USD,30-y Bond Auction,Medium,,4.31|2.3,4.02|2.4
2024-09-12 17:30,NZD,BusinessNZ Manufacturing Index,Low,,44.4,45.8
2024-09-12 23:30,JPY,Revised Industrial Production m/m,Low,2.8%,2.8%,3.1%
2024-09-13 00:00,CAD,Wholesale Sales m/m,Low,-1.1%,-0.5%,0.4%
2024-09-13 00:00,USD,Import Prices m/m,Low,-0.2%,0.1%,-0.3%
2024-09-13 00:00,USD,Prelim UoM Inflation Expectations,Medium,,2.8%,2.7%
2024-09-13 01:45,EUR,French Final CPI m/m,Low,0.6%,0.6%,0.5%
2024-09-13 03:30,GBP,Consumer Inflation Expectations,Low,,2.8%,2.7%
2024-09-13 04:00,EUR,Industrial Production m/m,Low,-0.6%,0.0%,-0.3%
2024-09-13 06:28,CNY,M2 Money Supply y/y,Low,6.2%,6.3%,6.3%
2024-09-13 06:29,CNY,New Loans,Medium,810B,260B,900B
2024-09-13 07:30,CAD,Capacity Utilization Rate,Low,78.8%,78.6%,79.1%
2024-09-13 09:00,USD,Prelim UoM Consumer Sentiment,Medium,68.3,67.9,69.0
2024-09-13 15:29,EUR,ECOFIN Meetings,Low,,,
2024-09-13 15:29,EUR,Eurogroup Meetings,Low,,,
2024-09-13 20:30,CNY,New Home Prices m/m,Low,,-0.65%,-0.73%
2024-09-13 21:00,CNY,Industrial Production y/y,Medium,4.7%,5.1%,4.5%
2024-09-14 00:00,CNY,Fixed Asset Investment ytd/y,Low,3.5%,3.6%,3.4%
2024-09-14 00:00,CNY,NBS Press Conference,Low,,,
2024-09-14 00:00,CNY,Retail Sales y/y,Medium,2.5%,2.7%,2.1%
2024-09-14 00:00,CNY,Unemployment Rate,Low,5.2%,5.2%,5.3%
2024-09-14 04:22,CNY,Foreign Direct Investment ytd/y,Low,,-29.6%,-31.5%
2024-09-14 15:29,EUR,ECOFIN Meetings,Low,,,
2024-09-15 17:30,NZD,BusinessNZ Services Index,Low,,45.2,45.5
2024-09-15 18:01,GBP,Rightmove HPI m/m,Low,,-1.5%,0.8%
2024-09-16 00:00,EUR,Trade Balance,Low,14.9B,17.0B,15.5B
2024-09-16 00:00,USD,Empire State Manufacturing Index,Medium,-4.1,-4.7,11.5
2024-09-16 01:30,CHF,PPI m/m,Low,0.1%,0.0%,0.2%
2024-09-16 04:00,EUR,Italian Trade Balance,Low,4.45B,5.15B,6.74B
2024-09-16 07:30,CAD,Manufacturing Sales m/m,Low,0.7%,-1.7%,1.4%
2024-09-16 23:30,JPY,Tertiary Industry Activity m/m,Low,0.8%,-1.2%,1.4%
2024-09-17 00:00,CAD,Common CPI y/y,Medium,2.2%,2.2%,2.0%
2024-09-17 00:00,CAD,Core CPI m/m,Low,,0.3%,-0.1%
2024-09-17 00:00,CAD,Median CPI y/y,High,2.2%,2.4%,2.3%
2024-09-17 00:00,CAD,Trimmed CPI y/y,High,2.5%,2.7%,2.4%
2024-09-17 00:00,EUR,ZEW Economic Sentiment,Low,16.3,17.9,9.3
2024-09-17 00:00,USD,Core Retail Sales m/m,High,0.2%,0.4%,0.1%
2024-09-17 00:00,USD,FOMC Member Logan Speaks,Low,,,
2024-09-17 00:00,USD,Industrial Production m/m,Low,0.2%,-0.9%,0.8%
2024-09-17 00:00,USD,NAHB Housing Market Index,Low,41,39,41
2024-09-17 00:00,USD,Retail Sales m/m,High,-0.2%,1.1%,0.1%
2024-09-17 04:00,EUR,German ZEW Economic Sentiment,Medium,17.1,19.2,3.6
2024-09-17 04:02,GBP,30-y Bond Auction,Low,,4.64|3.3,4.33|2.9
2024-09-17 07:15,CAD,Housing Starts,Low,252K,280K,217K
2024-09-17 07:30,CAD,CPI m/m,High,0.0%,0.4%,-0.2%
2024-09-17 08:15,USD,Capacity Utilization Rate,Low,77.9%,77.4%,78.0%
2024-09-17 09:00,USD,Business Inventories m/m,Low,0.3%,0.3%,0.4%
2024-09-17 09:42,AUD,CB Leading Index m/m,Low,,-0.2%,0.1%
2024-09-17 09:55,NZD,GDT Price Index,Low,,-0.4%,0.8%
2024-09-17 13:50,NZD,Westpac Consumer Sentiment,Low,,82.2,90.8
2024-09-17 17:00,CAD,Gov Council Member Rogers Speaks,Low,,,
2024-09-17 17:45,NZD,Current Account,Low,-3.95B,-3.83B,-4.83B
