datetime,currency,title,impact,forecast,previous,actual
2008-07-01 00:00,AUD,AIG Manufacturing Index,Low,,51.2,47.0
2008-07-01 00:00,AUD,RBA Rate Statement,High,,,
2008-07-01 00:00,EUR,German Final Manufacturing PMI,Low,52.4,52.3,52.6
2008-07-01 00:00,GBP,Nationwide HPI m/m,High,-1.1%,-2.5%,-0.9%
2008-07-01 00:00,JPY,Tankan Non-Manufacturing Index,Medium,8,12,10
2008-07-01 00:00,USD,Construction Spending m/m,Low,-0.5%,-0.1%,-0.4%
2008-07-01 00:00,USD,ISM Manufacturing Prices,Low,87.1,87.0,91.5
2008-07-01 00:30,AUD,Cash Rate,High,7.25%,7.25%,7.25%
2008-07-01 02:00,EUR,German Retail Sales m/m,Medium,0.8%,-0.6%,1.3%
2008-07-01 02:30,AUD,Commodity Prices y/y,Medium,,26.4%,37.8%
2008-07-01 03:15,EUR,Spanish Manufacturing PMI,Low,,43.8,40.6
2008-07-01 03:30,CHF,Manufacturing PMI,Medium,55.1,55.7,54.9
2008-07-01 03:45,EUR,Italian Manufacturing PMI,Low,47.6,48.0,46.9
2008-07-01 03:50,EUR,French Final Manufacturing PMI,Low,49.1,49.1,49.2
2008-07-01 03:55,EUR,German Unemployment Change,Medium,-15K,2K,-38K
2008-07-01 04:00,EUR,Final Manufacturing PMI,Low,49.1,49.1,49.2
2008-07-01 04:30,GBP,Final Manufacturing PMI,High,49.8,49.5,45.8
2008-07-01 05:00,EUR,Unemployment Rate,Low,7.1%,7.2%,7.2%
2008-07-01 10:00,USD,ISM Manufacturing PMI,High,48.6,49.6,50.2
2008-07-01 15:29,USD,Total Vehicle Sales,Low,13.9M,14.3M,13.6M
2008-07-01 19:50,JPY,Monetary Base y/y,Low,0.0%,-0.9%,0.4%
2008-07-01 21:30,AUD,Building Approvals m/m,High,-3.3%,5.4%,-6.5%
2008-07-02 00:00,AUD,Retail Sales m/m,High,0.1%,-0.1%,0.7%
2008-07-02 00:00,GBP,Housing Equity Withdrawal q/q,Low,5.4B,7.4B,5.0B
2008-07-02 00:00,NZD,GDT Price Index,Low,,-1.2%,1.0%
2008-07-02 03:00,EUR,Spanish Unemployment Change,Low,,15.1K,36.8K
2008-07-02 03:15,EUR,ECB President Trichet Speaks,Medium,,,
2008-07-02 04:30,GBP,Construction PMI,Medium,43.1,43.9,38.8
2008-07-02 05:00,EUR,PPI m/m,Low,0.9%,0.9%,1.2%
2008-07-02 06:06,EUR,German 10-y Bond Auction,Low,,4.36|1.2,4.66|1.1
2008-07-02 07:30,USD,Challenger Job Cuts y/y,Low,,45.6%,46.7%
2008-07-02 08:15,USD,ADP Non-Farm Employment Change,High,-20K,25K,-79K
2008-07-02 10:00,USD,Factory Orders m/m,Medium,0.4%,1.3%,0.6%
2008-07-02 10:30,GBP,MPC Member Bean Speaks,Low,,,
2008-07-02 10:35,USD,Crude Oil Inventories,Medium,-0.1M,0.8M,-2.0M
2008-07-02 11:00,USD,Treasury Sec Paulson Speaks,Medium,,,
2008-07-02 12:00,USD,FOMC Member Mishkin Speaks,Medium,,,
2008-07-02 19:30,AUD,AIG Services Index,Low,,49.7,45.4
2008-07-02 21:00,CNY,Non-Manufacturing PMI,Low,,60.5,56.9
2008-07-02 21:30,AUD,Goods Trade Balance,High,-1.04B,0.01B,-0.97B
2008-07-02 23:06,NZD,ANZ Commodity Prices m/m,Low,,0.9%,0.0%
2008-07-02 23:45,JPY,10-y Bond Auction,Low,,1.80|2.1,1.70|3.1
2008-07-03 00:00,EUR,Retail Sales m/m,Medium,0.4%,-0.6%,1.2%
2008-07-03 00:00,GBP,BOE Credit Conditions Survey,Medium,,,
2008-07-03 00:00,USD,Average Hourly Earnings m/m,Medium,0.3%,0.3%,0.3%
2008-07-03 00:00,USD,Non-Farm Employment Change,High,-60K,-62K,-62K
2008-07-03 00:00,USD,Unemployment Claims,Medium,384K,388K,404K
2008-07-03 00:00,USD,Unemployment Rate,High,5.4%,5.5%,5.5%
2008-07-03 01:45,CHF,CPI m/m,High,0.4%,0.8%,0.2%
2008-07-03 03:15,EUR,Spanish Services PMI,Low,,43.3,36.7
2008-07-03 03:45,EUR,Italian Services PMI,Low,47.8,48.1,48.5
2008-07-03 03:50,EUR,French Final Services PMI,Low,49.2,49.2,50.1
2008-07-03 03:55,EUR,German Final Services PMI,Low,53.3,53.3,52.1
2008-07-03 04:00,EUR,Final Services PMI,Low,49.5,49.5,49.1
2008-07-03 04:30,GBP,Final Services PMI,High,49.5,49.8,47.1
2008-07-03 05:00,CHF,SNB Quarterly Bulletin,Low,,,
2008-07-03 05:02,EUR,French 10-y Bond Auction,Low,,4.61|2.3,4.85|2.1
2008-07-03 07:45,EUR,Main Refinancing Rate,High,4.25%,4.00%,4.25%
2008-07-03 08:30,EUR,ECB Press Conference,High,,,
2008-07-03 10:00,USD,ISM Services PMI,High,51.1,51.7,48.2
2008-07-03 10:35,USD,Natural Gas Storage,Low,89B,90B,85B
2008-07-04 01:00,JPY,Leading Indicators,Low,93.0%,92.8%,92.6%
2008-07-04 02:45,EUR,French Gov Budget Balance,Low,,-45.0B,-50.1B
2008-07-04 03:00,CHF,Foreign Currency Reserves,Low,,47B,47B
2008-07-04 06:00,EUR,German Factory Orders m/m,Medium,0.8%,-1.7%,-0.9%
2008-07-04 10:00,CAD,Ivey PMI,High,62.2,62.5,69.6
2008-07-06 06:00,EUR,ECB President Trichet Speaks,Low,,,
