datetime,currency,title,impact,forecast,previous,actual
2018-07-01 18:30,AUD,AIG Manufacturing Index,Low,,57.5,57.4
2018-07-01 19:50,JPY,Tankan Manufacturing Index,Low,22,24,21
2018-07-01 20:30,JPY,Final Manufacturing PMI,Low,53.1,53.1,53.0
2018-07-01 21:00,AUD,MI Inflation Gauge m/m,Low,,0.0%,0.0%
2018-07-01 21:30,AUD,ANZ Job Advertisements m/m,Low,,1.4%,-1.7%
2018-07-01 21:45,CNY,Caixin Manufacturing PMI,Medium,51.1,51.1,51.0
2018-07-02 00:00,EUR,Italian Monthly Unemployment Rate,Low,11.1%,11.0%,10.7%
2018-07-02 00:00,EUR,Spanish Manufacturing PMI,Low,53.6,53.4,53.4
2018-07-02 00:00,JPY,Tankan Non-Manufacturing Index,Low,23,23,24
2018-07-02 00:00,USD,Construction Spending m/m,Low,0.5%,0.9%,0.4%
2018-07-02 00:00,USD,ISM Manufacturing Prices,Low,74.3,79.5,76.8
2018-07-02 02:30,AUD,Commodity Prices y/y,Low,,3.5%,6.6%
2018-07-02 03:15,CHF,Retail Sales y/y,Low,2.6%,2.9%,-0.1%
2018-07-02 03:30,CHF,Manufacturing PMI,Low,61.1,62.4,61.6
2018-07-02 03:45,EUR,Italian Manufacturing PMI,Low,52.6,52.7,53.3
2018-07-02 03:50,EUR,French Final Manufacturing PMI,Low,53.1,53.1,52.5
2018-07-02 03:55,EUR,German Final Manufacturing PMI,Low,55.9,55.9,55.9
2018-07-02 04:00,EUR,Final Manufacturing PMI,Low,55.0,55.0,54.9
2018-07-02 04:30,GBP,Final Manufacturing PMI,High,54.1,54.3,54.4
2018-07-02 05:00,EUR,Unemployment Rate,Low,8.5%,8.4%,8.4%
2018-07-02 09:45,USD,Final Manufacturing PMI,Low,54.6,54.6,55.4
2018-07-02 10:00,USD,ISM Manufacturing PMI,High,58.2,58.7,60.2
2018-07-02 18:00,NZD,NZIER Business Confidence,Medium,,-11,-20
2018-07-02 19:50,JPY,Monetary Base y/y,Low,8.3%,8.1%,7.4%
2018-07-02 21:30,AUD,Building Approvals m/m,Medium,0.1%,-5.6%,-3.2%
2018-07-02 23:35,JPY,10-y Bond Auction,Low,,0.05|4.4,0.04|4.4
2018-07-03 00:00,AUD,Cash Rate,Medium,1.50%,1.50%,1.50%
2018-07-03 00:00,EUR,Retail Sales m/m,Low,0.1%,-0.1%,0.0%
2018-07-03 00:00,GBP,FPC Meeting Minutes,Low,,,
2018-07-03 00:30,AUD,RBA Rate Statement,High,,,
2018-07-03 02:45,EUR,French Gov Budget Balance,Low,,-54.3B,-55.1B
2018-07-03 03:00,EUR,Spanish Unemployment Change,Low,-101.0K,-83.7K,-90.0K
2018-07-03 04:30,GBP,Construction PMI,High,52.6,52.5,53.1
2018-07-03 05:00,EUR,PPI m/m,Low,0.4%,0.0%,0.8%
2018-07-03 05:36,GBP,10-y Bond Auction,Low,,1.61|2.2,1.43|2.3
2018-07-03 09:30,CAD,Manufacturing PMI,Low,,56.2,57.1
2018-07-03 09:59,USD,RCM/TIPP Economic Optimism,Low,54.2,53.9,56.4
2018-07-03 10:00,USD,Factory Orders m/m,Low,0.1%,-0.4%,0.4%
2018-07-03 10:13,NZD,GDT Price Index,Medium,,-1.2%,-5.0%
2018-07-03 15:29,USD,Total Vehicle Sales,Low,17.0M,16.9M,17.5M
2018-07-03 15:29,USD,Wards Total Vehicle Sales,Low,17.0M,16.8M,17.4M
2018-07-03 18:30,AUD,AIG Services Index,Low,,59.0,63.0
2018-07-03 19:01,GBP,BRC Shop Price Index y/y,Low,,-1.1%,-0.5%
2018-07-03 21:00,NZD,ANZ Commodity Prices m/m,Low,,1.5%,-1.0%
2018-07-03 21:30,AUD,Goods Trade Balance,High,1.21B,0.47B,0.83B
2018-07-03 21:45,CNY,Caixin Services PMI,Medium,52.7,52.9,53.9
2018-07-04 00:00,AUD,Retail Sales m/m,High,0.3%,0.5%,0.4%
2018-07-04 03:15,EUR,Spanish Services PMI,Low,56.3,56.4,55.4
2018-07-04 03:45,EUR,Italian Services PMI,Low,53.3,53.1,54.3
2018-07-04 03:50,EUR,French Final Services PMI,Low,56.4,56.4,55.9
2018-07-04 03:55,EUR,German Final Services PMI,Low,53.9,53.9,54.5
2018-07-04 04:00,EUR,Final Services PMI,Low,55.0,55.0,55.2
2018-07-04 04:30,GBP,Final Services PMI,High,54.0,54.0,55.1
2018-07-04 23:35,JPY,30-y Bond Auction,Low,,0.71|4.2,0.70|5.0
2018-07-05 01:58,EUR,German Factory Orders m/m,Low,1.1%,-1.6%,2.6%
2018-07-05 03:15,CHF,CPI m/m,Low,0.1%,0.4%,0.0%
2018-07-05 04:10,EUR,Retail PMI,Low,,51.7,51.8
2018-07-05 04:30,GBP,Housing Equity Withdrawal q/q,Low,-7.3B,-7.1B,-6.7B
2018-07-05 04:48,EUR,Spanish 10-y Bond Auction,Low,,1.41|2.2,1.58|1.9
2018-07-05 04:59,EUR,French 10-y Bond Auction,Low,,0.90|1.9,0.67|1.9
2018-07-05 05:45,GBP,BOE Gov Carney Speaks,High,,,
2018-07-05 07:15,EUR,German Buba President Weidmann Speaks,Medium,,,
2018-07-05 07:30,USD,Challenger Job Cuts y/y,Low,,-4.8%,19.6%
2018-07-05 08:15,USD,ADP Non-Farm Employment Change,High,190K,189K,177K
2018-07-05 08:30,USD,Unemployment Claims,Medium,225K,228K,231K
2018-07-05 09:45,USD,Final Services PMI,Low,56.5,56.5,56.5
2018-07-05 10:00,USD,ISM Services PMI,High,58.3,58.6,59.1
2018-07-05 11:00,USD,Crude Oil Inventories,High,-4.4M,-9.9M,1.2M
2018-07-05 14:00,USD,FOMC Meeting Minutes,High,,,
2018-07-05 18:30,AUD,AIG Construction Index,Low,,54.0,50.6
2018-07-05 19:30,JPY,Household Spending y/y,Low,-1.5%,-1.3%,-3.9%
2018-07-05 20:00,JPY,Average Cash Earnings y/y,Low,0.9%,0.6%,2.1%
2018-07-06 00:00,CAD,Trade Balance,High,-2.2B,-1.9B,-2.8B
