datetime,currency,title,impact,forecast,previous,actual
2015-07-01 00:00,CNY,Non-Manufacturing PMI,Medium,,53.2,53.8
2015-07-01 00:00,GBP,BOE Financial Stability Report,Medium,,,
2015-07-01 00:00,GBP,FPC Statement,Medium,,,
2015-07-01 00:00,JPY,Tankan Non-Manufacturing Index,Medium,23,19,23
2015-07-01 00:00,USD,Construction Spending m/m,Low,0.4%,2.1%,0.8%
2015-07-01 00:00,USD,ISM Manufacturing Prices,Low,51.1,49.5,49.5
2015-07-01 02:30,AUD,Commodity Prices y/y,Low,,-20.8%,-17.9%
2015-07-01 03:15,EUR,Spanish Manufacturing PMI,Medium,55.6,55.8,54.5
2015-07-01 03:30,CHF,Manufacturing PMI,Low,50.0,49.4,50.0
2015-07-01 03:45,EUR,Italian Manufacturing PMI,Low,54.4,54.8,54.1
2015-07-01 03:50,EUR,French Final Manufacturing PMI,Low,50.5,50.5,50.7
2015-07-01 03:55,EUR,German Final Manufacturing PMI,Medium,51.9,51.9,51.9
2015-07-01 04:00,EUR,Final Manufacturing PMI,Low,52.5,52.5,52.5
2015-07-01 04:30,GBP,Final Manufacturing PMI,High,52.6,51.9,51.4
2015-07-01 05:30,GBP,BOE Gov Carney Speaks,High,,,
2015-07-01 07:30,USD,Challenger Job Cuts y/y,Low,,-22.5%,42.7%
2015-07-01 08:15,USD,ADP Non-Farm Employment Change,High,219K,203K,237K
2015-07-01 09:45,USD,Final Manufacturing PMI,Low,53.4,53.4,53.6
2015-07-01 10:00,USD,ISM Manufacturing PMI,High,53.2,52.8,53.5
2015-07-01 10:07,NZD,GDT Price Index,High,,-1.3%,-5.9%
2015-07-01 10:30,USD,Crude Oil Inventories,Medium,-1.9M,-4.9M,2.4M
2015-07-01 15:29,EUR,Eurogroup Meetings,High,,,
2015-07-01 15:29,USD,Total Vehicle Sales,Low,17.2M,17.8M,17.2M
2015-07-01 19:50,JPY,Monetary Base y/y,Low,36.2%,35.6%,34.2%
2015-07-01 21:00,NZD,ANZ Commodity Prices m/m,Low,,-4.9%,-3.1%
2015-07-01 21:30,AUD,Goods Trade Balance,High,-2.21B,-4.14B,-2.75B
2015-07-01 23:45,JPY,10-y Bond Auction,Low,,0.45|2.7,0.51|2.6
2015-07-02 00:00,USD,Average Hourly Earnings m/m,Medium,0.2%,0.2%,0.0%
2015-07-02 00:00,USD,Unemployment Claims,Medium,270K,271K,281K
2015-07-02 00:00,USD,Unemployment Rate,High,5.4%,5.5%,5.3%
2015-07-02 02:00,GBP,Nationwide HPI m/m,Low,0.6%,0.2%,-0.2%
2015-07-02 03:00,EUR,Spanish Unemployment Change,Medium,-124.3K,-118.0K,-94.7K
2015-07-02 04:30,GBP,Construction PMI,High,56.6,55.9,58.1
2015-07-02 04:53,EUR,Spanish 10-y Bond Auction,Low,,2.35|1.9,2.26|1.8
2015-07-02 04:59,EUR,French 10-y Bond Auction,Low,,1.28|1.8,1.30|2.1
2015-07-02 05:00,EUR,PPI m/m,Low,0.1%,-0.1%,0.0%
2015-07-02 07:30,EUR,ECB Monetary Policy Meeting Accounts,Medium,,,
2015-07-02 08:30,USD,Non-Farm Employment Change,High,231K,254K,223K
2015-07-02 09:30,CAD,Manufacturing PMI,Low,,49.8,51.3
2015-07-02 10:00,USD,Factory Orders m/m,Medium,-0.5%,-0.7%,-1.0%
2015-07-02 10:30,USD,Natural Gas Storage,Low,74B,75B,69B
2015-07-02 11:10,EUR,ECB President Draghi Speaks,High,,,
2015-07-02 19:30,AUD,AIG Services Index,Low,,49.6,51.2
2015-07-02 21:30,AUD,Retail Sales m/m,High,0.5%,-0.1%,0.3%
2015-07-02 21:45,CNY,Caixin Services PMI,Medium,53.8,53.5,51.8
2015-07-03 03:15,EUR,Spanish Services PMI,Medium,58.0,58.4,56.1
2015-07-03 03:45,EUR,Italian Services PMI,Low,52.9,52.5,53.4
2015-07-03 03:50,EUR,French Final Services PMI,Low,54.1,54.1,54.1
2015-07-03 03:55,EUR,German Final Services PMI,Low,54.2,54.2,53.8
2015-07-03 04:00,EUR,Final Services PMI,Low,54.4,54.4,54.4
2015-07-03 04:30,GBP,Final Services PMI,High,57.4,56.5,58.5
2015-07-03 05:00,EUR,Retail Sales m/m,Medium,0.1%,0.7%,0.2%
2015-07-05 15:29,EUR,Greek Bailout Vote,High,,,No
2015-07-05 20:30,AUD,MI Inflation Gauge m/m,Low,,0.3%,0.1%
2015-07-05 21:30,AUD,ANZ Job Advertisements m/m,Medium,,0.1%,1.3%
2015-07-06 00:00,GBP,Housing Equity Withdrawal q/q,Low,-12.1B,-12.6B,-13.0B
2015-07-06 00:00,USD,ISM Services PMI,High,56.5,55.7,56.0
2015-07-06 01:00,JPY,Leading Indicators,Low,106.2%,106.4%,106.2%
2015-07-06 02:00,EUR,German Factory Orders m/m,Medium,0.0%,2.2%,-0.2%
2015-07-06 03:15,CHF,CPI m/m,Medium,0.1%,0.2%,0.1%
2015-07-06 04:10,EUR,Retail PMI,Low,,51.4,50.4
2015-07-06 04:30,EUR,Sentix Investor Confidence,Low,15.6,17.1,18.5
2015-07-06 09:45,USD,Final Services PMI,Low,54.8,54.8,54.8
2015-07-06 10:00,CAD,Ivey PMI,High,56.2,62.3,55.9
2015-07-06 10:29,USD,Labor Market Conditions Index m/m,Low,,0.9,0.8
2015-07-06 10:30,CAD,BOC Business Outlook Survey,Medium,,,
2015-07-06 18:00,NZD,NZIER Business Confidence,High,,23,5
2015-07-06 19:23,AUD,AIG Construction Index,Low,,47.8,46.4
2015-07-07 00:00,AUD,RBA Rate Statement,High,,,
2015-07-07 00:00,EUR,French Trade Balance,Low,-3.3B,-3.3B,-4.0B
2015-07-07 00:00,GBP,Industrial Production m/m,Low,-0.2%,0.3%,0.4%
2015-07-07 00:00,USD,JOLTS Job Openings,Medium,5.33M,5.33M,5.36M
2015-07-07 00:00,USD,RCM/TIPP Economic Optimism,Low,48.9,48.1,48.1
2015-07-07 00:00,USD,Trade Balance,High,-42.5B,-40.7B,-41.9B
2015-07-07 00:30,AUD,Cash Rate,High,2.00%,2.00%,2.00%
2015-07-07 01:45,CHF,Unemployment Rate,Low,3.3%,3.3%,3.3%
2015-07-07 02:00,EUR,German Industrial Production m/m,Low,0.1%,0.6%,0.0%
