datetime,currency,title,impact,forecast,previous,actual
2008-05-01 00:00,JPY,Average Cash Earnings y/y,Low,1.2%,1.5%,1.2%
2008-05-01 00:00,USD,Construction Spending m/m,Low,-0.8%,0.4%,-1.1%
2008-05-01 00:00,USD,ISM Manufacturing Prices,Low,83.5,83.5,84.5
2008-05-01 00:00,USD,Personal Income m/m,Low,0.4%,0.5%,0.3%
2008-05-01 00:00,USD,Personal Spending m/m,Medium,0.2%,0.1%,0.4%
2008-05-01 00:00,USD,Unemployment Claims,Medium,363K,345K,380K
2008-05-01 02:30,AUD,Commodity Prices y/y,Medium,,11.1%,20.7%
2008-05-01 04:30,GBP,Final Manufacturing PMI,High,50.7,51.3,51.0
2008-05-01 07:30,USD,Challenger Job Cuts y/y,Low,,9.4%,27.4%
2008-05-01 08:30,USD,Core PCE Price Index m/m,Medium,0.1%,0.1%,0.2%
2008-05-01 10:00,USD,ISM Manufacturing PMI,High,48.0,48.6,48.6
2008-05-01 10:30,USD,Natural Gas Storage,Low,30B,24B,86B
2008-05-01 11:45,CAD,BOC Gov Carney Speaks,High,,,
2008-05-01 19:50,JPY,Monetary Base y/y,Low,-2.3%,0.0%,-2.8%
2008-05-01 21:30,AUD,Retail Sales m/m,High,0.3%,-0.1%,0.5%
2008-05-01 22:30,CNY,Caixin Manufacturing PMI,Medium,,54.4,55.4
2008-05-02 00:00,USD,Average Hourly Earnings m/m,Medium,0.3%,0.3%,0.1%
2008-05-02 00:00,USD,Unemployment Rate,High,5.2%,5.1%,5.0%
2008-05-02 02:00,EUR,German Retail Sales m/m,Medium,0.6%,-0.7%,-0.1%
2008-05-02 03:00,GBP,Halifax HPI m/m,High,-0.6%,-2.5%,-1.3%
2008-05-02 03:15,EUR,Spanish Manufacturing PMI,Low,,46.4,45.2
2008-05-02 03:30,CHF,Manufacturing PMI,Medium,55.0,55.3,56.7
2008-05-02 03:45,EUR,Italian Manufacturing PMI,Low,48.8,49.4,48.2
2008-05-02 03:50,EUR,French Final Manufacturing PMI,Low,51.5,51.5,51.1
2008-05-02 03:55,EUR,German Final Manufacturing PMI,Low,53.6,53.6,53.6
2008-05-02 04:00,EUR,Final Manufacturing PMI,Low,50.8,50.8,50.7
2008-05-02 04:30,GBP,Construction PMI,Medium,47.0,47.2,46.1
2008-05-02 08:30,USD,Non-Farm Employment Change,High,-80K,-81K,-20K
2008-05-02 09:30,USD,Fed Announcement,High,,,
2008-05-02 10:00,USD,Factory Orders m/m,Medium,0.2%,-0.9%,1.4%
2008-05-02 21:00,CNY,Non-Manufacturing PMI,Low,,60.3,62.9
2008-05-04 18:45,NZD,Labor Cost Index q/q,High,0.8%,1.1%,0.7%
2008-05-04 19:30,AUD,AIG Services Index,Low,,53.8,47.3
2008-05-04 20:30,AUD,MI Inflation Gauge m/m,Low,,0.4%,0.5%
2008-05-04 21:30,AUD,ANZ Job Advertisements m/m,Medium,,-0.7%,3.1%
2008-05-04 23:00,NZD,ANZ Commodity Prices m/m,Low,,2.0%,-0.3%
2008-05-05 00:00,AUD,HPI q/q,Medium,0.1%,4.1%,1.1%
2008-05-05 04:30,EUR,Sentix Investor Confidence,Low,4.2,4.1,3.5
2008-05-05 07:40,EUR,ECB President Trichet Speaks,Medium,,,
2008-05-05 08:50,CAD,Gov Council Member Murray Speaks,Medium,,,
2008-05-05 10:00,USD,ISM Services PMI,High,49.1,49.6,52.0
2008-05-05 14:00,USD,Loan Officer Survey,Low,,,
2008-05-05 15:29,USD,Total Vehicle Sales,Low,14.9M,15.1M,14.5M
2008-05-05 20:30,USD,Fed Chairman Bernanke Speaks,High,,,
2008-05-05 21:30,AUD,Goods Trade Balance,High,-2.92B,-3.26B,-2.74B
2008-05-06 00:00,AUD,RBA Rate Statement,High,,,
2008-05-06 00:00,EUR,Spanish Unemployment Change,Low,,-14.4K,37.5K
2008-05-06 00:30,AUD,Cash Rate,High,7.25%,7.25%,7.25%
2008-05-06 01:45,CHF,CPI m/m,High,0.8%,0.3%,0.8%
2008-05-06 03:00,CHF,Foreign Currency Reserves,Low,,46B,46B
2008-05-06 03:15,EUR,Spanish Services PMI,Low,,40.9,42.5
2008-05-06 03:30,EUR,ECB President Trichet Speaks,Medium,,,
2008-05-06 03:45,EUR,Italian Services PMI,Low,48.2,48.8,49.8
