datetime,currency,title,impact,forecast,previous,actual
2012-11-01 00:00,USD,Construction Spending m/m,Low,0.7%,-0.1%,0.6%
2012-11-01 00:00,USD,ISM Manufacturing PMI,High,51.2,51.5,51.7
2012-11-01 00:00,USD,ISM Manufacturing Prices,Low,56.2,58.0,55.0
2012-11-01 00:00,USD,Prelim Nonfarm Productivity q/q,Medium,1.3%,2.2%,1.9%
2012-11-01 00:00,USD,Prelim Unit Labor Costs q/q,Medium,1.3%,1.5%,-0.1%
2012-11-01 01:30,AUD,Commodity Prices y/y,Low,,-15.7%,-16.0%
2012-11-01 03:00,GBP,Nationwide HPI m/m,Medium,0.2%,-0.4%,0.6%
2012-11-01 04:15,CHF,Retail Sales y/y,Medium,4.5%,6.0%,5.4%
2012-11-01 04:30,CHF,Manufacturing PMI,Medium,44.6,43.6,46.1
2012-11-01 05:30,GBP,Final Manufacturing PMI,High,48.1,48.1,47.5
2012-11-01 07:30,USD,Challenger Job Cuts y/y,Low,,-70.8%,11.6%
2012-11-01 08:15,USD,ADP Non-Farm Employment Change,High,138K,114K,158K
2012-11-01 08:30,USD,Unemployment Claims,High,371K,372K,363K
2012-11-01 09:00,USD,Final Manufacturing PMI,Low,51.5,51.3,51.0
2012-11-01 09:30,CAD,Manufacturing PMI,Low,,52.4,51.4
2012-11-01 10:00,USD,CB Consumer Confidence,High,72.4,68.4,72.2
2012-11-01 10:30,USD,Natural Gas Storage,Low,68B,67B,65B
2012-11-01 11:00,USD,Crude Oil Inventories,Medium,1.9M,5.9M,-2.0M
2012-11-01 12:30,USD,FOMC Member Lockhart Speaks,Medium,,,
2012-11-01 16:29,USD,Total Vehicle Sales,Low,15.0M,15.0M,14.3M
2012-11-01 19:50,JPY,Monetary Policy Meeting Minutes,Medium,,,
2012-11-01 20:00,NZD,ANZ Commodity Prices m/m,Low,,3.4%,1.3%
2012-11-01 20:30,AUD,PPI q/q,High,1.0%,0.5%,0.6%
2012-11-02 00:00,CAD,Unemployment Rate,High,7.4%,7.4%,7.4%
2012-11-02 00:00,JPY,Monetary Base y/y,Low,10.2%,9.0%,10.8%
2012-11-02 00:00,USD,Average Hourly Earnings m/m,Medium,0.2%,0.3%,0.0%
2012-11-02 00:00,USD,Non-Farm Employment Change,High,123K,148K,171K
2012-11-02 00:00,USD,Unemployment Rate,High,7.9%,7.8%,7.9%
2012-11-02 04:15,EUR,Spanish Manufacturing PMI,Medium,44.1,44.5,43.5
2012-11-02 04:45,EUR,Italian Manufacturing PMI,Medium,45.9,45.7,45.5
2012-11-02 04:50,EUR,French Final Manufacturing PMI,Low,43.5,43.5,43.7
2012-11-02 04:55,EUR,German Final Manufacturing PMI,Low,45.7,45.7,46.0
2012-11-02 05:00,EUR,Final Manufacturing PMI,Low,45.3,45.3,45.4
