datetime,currency,title,impact,forecast,previous,actual
2008-12-01 00:00,GBP,Mortgage Approvals,Low,32K,33K,32K
2008-12-01 00:00,GBP,Net Lending to Individuals m/m,Medium,2.2B,1.8B,1.3B
2008-12-01 00:00,USD,Construction Spending m/m,Low,-0.9%,0.0%,-1.2%
2008-12-01 00:00,USD,ISM Manufacturing Prices,Low,33.0,37.0,25.5
2008-12-01 00:30,AUD,Commodity Prices y/y,Medium,,35.9%,35.0%
2008-12-01 02:00,EUR,German Retail Sales m/m,Medium,0.5%,-1.0%,-1.6%
2008-12-01 03:15,EUR,Spanish Manufacturing PMI,Low,,34.6,29.4
2008-12-01 03:30,CHF,Manufacturing PMI,Medium,45.5,47.0,35.2
2008-12-01 03:45,EUR,Italian Manufacturing PMI,Low,36.6,39.7,34.9
2008-12-01 03:50,EUR,French Final Manufacturing PMI,Low,37.8,37.9,37.3
2008-12-01 03:55,EUR,German Final Manufacturing PMI,Low,36.6,36.7,35.7
2008-12-01 04:00,EUR,Final Manufacturing PMI,Low,36.2,36.2,35.6
2008-12-01 04:30,GBP,Final Manufacturing PMI,High,39.8,40.7,34.4
2008-12-01 08:30,CAD,GDP m/m,High,0.2%,-0.5%,0.1%
2008-12-01 10:00,USD,ISM Manufacturing PMI,High,37.2,38.9,36.2
2008-12-01 13:15,USD,FOMC Member Fisher Speaks,Low,,,
2008-12-01 13:45,USD,Fed Chairman Bernanke Speaks,High,,,
2008-12-01 15:00,USD,Treasury Sec Paulson Speaks,Low,,,
2008-12-01 15:29,EUR,Eurogroup Meetings,Low,,,
2008-12-01 18:50,JPY,Monetary Base y/y,Low,2.0%,1.4%,1.9%
2008-12-01 19:30,AUD,Retail Sales m/m,High,-0.4%,-1.1%,0.7%
2008-12-01 22:30,AUD,Cash Rate,High,4.50%,5.25%,4.25%
2008-12-01 22:45,JPY,10-y Bond Auction,Low,,1.50|2.3,1.38|2.9
2008-12-02 00:00,AUD,Current Account,Medium,-11.2B,-14.0B,-9.7B
2008-12-02 00:00,AUD,RBA Rate Statement,High,,,
2008-12-02 00:00,JPY,Overnight Call Rate,Medium,0.30%,0.30%,0.30%
2008-12-02 00:34,JPY,Monetary Policy Statement,Medium,,,
2008-12-02 01:45,CHF,CPI m/m,Medium,-0.3%,0.5%,-0.7%
