datetime,currency,title,impact,forecast,previous,actual
2009-02-01 15:29,All,WEF Annual Meetings,Medium,,,
2009-02-01 16:45,NZD,Labor Cost Index q/q,High,0.9%,1.1%,0.7%
2009-02-01 17:30,AUD,AIG Manufacturing Index,Low,,33.7,36.6
2009-02-01 18:30,AUD,MI Inflation Gauge m/m,Low,,-0.2%,0.8%
2009-02-01 19:30,AUD,HPI q/q,Medium,-1.1%,-2.4%,-0.8%
2009-02-01 20:05,AUD,HIA New Home Sales m/m,Medium,,-1.1%,-1.7%
2009-02-01 21:30,CNY,Caixin Manufacturing PMI,Medium,,41.2,42.2
2009-02-02 00:00,USD,Construction Spending m/m,Low,-1.3%,-1.2%,-1.4%
2009-02-02 00:00,USD,ISM Manufacturing Prices,Low,18.0,18.0,29.0
2009-02-02 00:00,USD,Personal Income m/m,Low,-0.4%,-0.4%,-0.2%
2009-02-02 00:00,USD,Personal Spending m/m,Medium,-0.9%,-0.8%,-1.0%
2009-02-02 00:30,AUD,Commodity Prices y/y,Medium,,31.4%,28.6%
2009-02-02 03:15,EUR,Spanish Manufacturing PMI,Low,,28.5,31.5
2009-02-02 03:30,CHF,Manufacturing PMI,Medium,36.1,36.9,35.0
2009-02-02 03:45,EUR,Italian Manufacturing PMI,Low,35.3,35.5,36.1
2009-02-02 03:50,EUR,French Final Manufacturing PMI,Low,38.1,38.1,37.9
2009-02-02 03:55,EUR,German Final Manufacturing PMI,Low,32.0,32.0,32.0
2009-02-02 04:00,EUR,Final Manufacturing PMI,Medium,34.5,34.5,34.4
2009-02-02 04:30,GBP,Final Manufacturing PMI,High,34.4,34.9,35.8
2009-02-02 08:30,USD,Core PCE Price Index m/m,Medium,0.0%,0.0%,0.0%
2009-02-02 10:00,USD,ISM Manufacturing PMI,High,32.4,32.4,35.6
2009-02-02 14:00,USD,Loan Officer Survey,Low,,,
2009-02-02 18:50,JPY,Monetary Base y/y,Low,1.8%,1.8%,3.9%
2009-02-02 19:30,AUD,Goods Trade Balance,High,1.05B,0.98B,0.59B
2009-02-02 20:00,CNY,Non-Manufacturing PMI,Low,,48.9,51.0
2009-02-02 20:30,JPY,Average Cash Earnings y/y,Medium,-1.5%,-0.7%,-1.4%
2009-02-02 22:30,AUD,Cash Rate,High,3.25%,4.25%,3.25%
2009-02-02 22:45,JPY,10-y Bond Auction,Low,,1.28|2.3,1.30|2.2
2009-02-03 00:00,AUD,RBA Rate Statement,High,,,
2009-02-03 00:00,USD,Pending Home Sales m/m,High,0.0%,-3.7%,6.3%
2009-02-03 00:30,JPY,BOJ Gov Shirakawa Speaks,Medium,,,
2009-02-03 02:00,EUR,German Retail Sales m/m,Medium,0.5%,-0.1%,-0.2%
2009-02-03 02:15,CHF,Trade Balance,Low,1.74B,2.25B,0.22B
2009-02-03 03:00,EUR,Spanish Unemployment Change,Low,,139.7K,198.8K
2009-02-03 04:30,GBP,Construction PMI,Medium,28.8,29.3,34.5
2009-02-03 05:00,EUR,PPI m/m,Low,-1.1%,-2.0%,-1.3%
2009-02-03 08:30,NZD,GDT Price Index,Low,,-8.6%,-8.2%
2009-02-03 10:00,USD,Fed Announcement,High,,,
2009-02-03 15:29,USD,Total Vehicle Sales,Low,10.2M,10.3M,9.6M
2009-02-03 16:45,NZD,Visitor Arrivals m/m,Low,,1.0%,3.9%
