date,open,high,low,close,volume,average,barCount
2022-01-31 04:00:00,352.0,354.22,352.0,354.22,17396.0,353.986,43
2022-01-31 04:01:00,354.24,354.47,354.24,354.47,7499.0,354.318,21
2022-01-31 04:02:00,354.4,354.43,354.25,354.33,2756.0,354.304,13
2022-01-31 04:03:00,354.44,354.44,354.33,354.35,2100.0,354.339,4
2022-01-31 04:04:00,354.34,354.43,354.34,354.38,928.0,354.375,5
2022-01-31 04:05:00,354.15,354.15,354.05,354.05,300.0,354.117,2
2022-01-31 04:06:00,354.05,354.17,354.03,354.09,3779.0,354.105,13
2022-01-31 04:07:00,354.04,354.13,354.04,354.12,1780.0,354.115,4
2022-01-31 04:08:00,354.21,354.42,354.19,354.42,1964.0,354.227,9
2022-01-31 04:09:00,354.32,354.32,354.32,354.32,168.0,354.32,1
2022-01-31 04:10:00,354.31,354.31,354.24,354.29,1420.0,354.286,4
2022-01-31 04:11:00,354.28,354.28,354.28,354.28,240.0,354.28,1
2022-01-31 04:12:00,354.28,354.42,354.28,354.42,400.0,354.385,4
2022-01-31 04:13:00,354.46,354.52,354.46,354.52,685.0,354.511,4
2022-01-31 04:14:00,354.55,354.55,354.55,354.55,1300.0,354.55,6
2022-01-31 04:15:00,354.57,354.57,354.49,354.49,2400.0,354.498,6
2022-01-31 04:16:00,354.45,354.45,354.45,354.45,1300.0,354.45,3
2022-01-31 04:17:00,354.29,354.29,354.1,354.1,500.0,354.172,5
2022-01-31 04:18:00,354.05,354.25,354.05,354.24,2705.0,354.173,9
2022-01-31 04:19:00,354.1,354.45,354.07,354.4,5364.0,354.223,19
2022-01-31 04:20:00,354.51,354.53,354.48,354.48,718.0,354.501,3
2022-01-31 04:21:00,354.48,354.48,354.48,354.48,388.0,354.48,2
2022-01-31 04:22:00,354.45,354.45,354.29,354.3,3195.0,354.343,13
2022-01-31 04:23:00,354.3,354.3,354.3,354.3,0.0,354.3,0
2022-01-31 04:24:00,354.17,354.22,354.16,354.16,1215.0,354.18,4
2022-01-31 04:25:00,354.29,354.29,354.29,354.29,100.0,354.29,1
2022-01-31 04:26:00,354.34,354.34,354.17,354.27,1100.0,354.258,5
2022-01-31 04:27:00,354.27,354.27,354.27,354.27,0.0,354.27,0
2022-01-31 04:28:00,354.27,354.27,354.27,354.27,0.0,354.27,0
2022-01-31 04:29:00,354.3,354.3,354.3,354.3,500.0,354.3,3
2022-01-31 04:30:00,354.36,354.36,354.36,354.36,100.0,354.36,1
2022-01-31 04:31:00,354.3,354.32,354.26,354.32,4290.0,354.265,9
2022-01-31 04:32:00,354.29,354.29,354.29,354.29,141.0,354.29,1
2022-01-31 04:33:00,354.17,354.17,354.17,354.17,100.0,354.17,1
2022-01-31 04:34:00,354.27,354.29,354.27,354.29,1000.0,354.286,3
2022-01-31 04:35:00,354.42,354.46,354.42,354.46,1041.0,354.425,3
2022-01-31 04:36:00,354.5,354.5,354.5,354.5,100.0,354.5,1
2022-01-31 04:37:00,354.46,354.46,354.46,354.46,100.0,354.46,1
2022-01-31 04:38:00,354.4,354.4,354.27,354.27,613.0,354.328,2
2022-01-31 04:39:00,354.37,354.37,354.37,354.37,100.0,354.37,1
2022-01-31 04:40:00,354.37,354.37,354.37,354.37,0.0,354.37,0
2022-01-31 04:41:00,354.37,354.37,354.37,354.37,0.0,354.37,0
2022-01-31 04:42:00,354.37,354.37,354.37,354.37,0.0,354.37,0
2022-01-31 04:43:00,354.6,354.6,354.5,354.5,300.0,354.567,2
2022-01-31 04:44:00,354.18,354.23,354.18,354.23,1140.0,354.224,3
2022-01-31 04:45:00,354.29,354.29,354.29,354.29,350.0,354.29,1
2022-01-31 04:46:00,354.38,354.39,354.38,354.39,200.0,354.385,2
2022-01-31 04:47:00,354.39,354.39,354.39,354.39,0.0,354.39,0
2022-01-31 04:48:00,354.43,354.54,354.43,354.54,700.0,354.454,4
2022-01-31 04:49:00,354.29,354.29,354.29,354.29,150.0,354.29,1
2022-01-31 04:50:00,354.29,354.29,354.29,354.29,100.0,354.29,1
2022-01-31 04:51:00,354.2,354.22,354.2,354.22,1100.0,354.218,3
2022-01-31 04:52:00,354.22,354.22,354.22,354.22,0.0,354.22,0
2022-01-31 04:53:00,354.04,354.04,353.85,353.9,2230.0,353.908,8
2022-01-31 04:54:00,353.94,354.0,353.94,353.94,1230.0,353.973,5
2022-01-31 04:55:00,353.81,353.89,353.81,353.87,3860.0,353.856,15
2022-01-31 04:56:00,353.87,353.87,353.87,353.87,0.0,353.87,0
2022-01-31 04:57:00,353.89,353.89,353.82,353.82,400.0,353.873,2
2022-01-31 04:58:00,353.83,353.97,353.83,353.97,360.0,353.895,3
2022-01-31 04:59:00,353.99,354.03,353.94,354.03,2505.0,353.992,10
2022-01-31 05:00:00,354.03,354.03,354.0,354.0,1368.0,354.019,4
2022-01-31 05:01:00,354.0,354.0,354.0,354.0,139.0,354.0,1
2022-01-31 05:02:00,353.97,353.97,353.91,353.91,710.0,353.962,2
2022-01-31 05:03:00,353.91,353.91,353.91,353.91,0.0,353.91,0
2022-01-31 05:04:00,353.91,353.91,353.91,353.91,0.0,353.91,0
2022-01-31 05:05:00,354.09,354.09,354.09,354.09,100.0,354.09,1
2022-01-31 05:06:00,354.06,354.06,354.06,354.06,929.0,354.06,3
2022-01-31 05:07:00,354.01,354.01,353.81,353.81,5095.0,353.845,9
2022-01-31 05:08:00,353.65,353.81,353.64,353.77,8998.0,353.685,16
2022-01-31 05:09:00,353.77,353.77,353.77,353.77,968.0,353.77,2
2022-01-31 05:10:00,353.6,353.6,353.6,353.6,500.0,353.6,1
2022-01-31 05:11:00,353.34,353.38,353.34,353.36,1450.0,353.351,7
2022-01-31 05:12:00,353.22,353.32,353.21,353.32,841.0,353.225,3
2022-01-31 05:13:00,353.31,353.31,353.14,353.27,976.0,353.244,6
2022-01-31 05:14:00,353.27,353.27,353.27,353.27,0.0,353.27,0
2022-01-31 05:15:00,353.66,353.68,353.61,353.62,6930.0,353.616,20
2022-01-31 05:16:00,353.67,353.7,353.63,353.7,5452.0,353.697,13
2022-01-31 05:17:00,353.64,353.7,353.56,353.7,550.0,353.629,4
2022-01-31 05:18:00,353.7,353.7,353.7,353.7,0.0,353.7,0
2022-01-31 05:19:00,353.7,353.7,353.7,353.7,0.0,353.7,0
2022-01-31 05:20:00,353.63,353.63,353.52,353.62,2399.0,353.586,6
2022-01-31 05:21:00,353.71,353.78,353.71,353.78,610.0,353.735,3
2022-01-31 05:22:00,353.46,353.46,353.45,353.45,4091.0,353.456,6
2022-01-31 05:23:00,353.46,353.46,353.46,353.46,100.0,353.46,1
2022-01-31 05:24:00,353.46,353.46,353.46,353.46,0.0,353.46,0
2022-01-31 05:25:00,353.66,353.72,353.66,353.72,2350.0,353.713,6
2022-01-31 05:26:00,353.84,353.84,353.75,353.76,3750.0,353.816,26
2022-01-31 05:27:00,353.8,353.8,353.74,353.74,750.0,353.76,3
2022-01-31 05:28:00,353.56,353.57,353.56,353.57,321.0,353.566,2
2022-01-31 05:29:00,353.56,353.56,353.42,353.49,1900.0,353.496,7
2022-01-31 05:30:00,353.56,353.57,353.56,353.57,1000.0,353.562,2
2022-01-31 05:31:00,353.57,353.57,353.57,353.57,0.0,353.57,0
2022-01-31 05:32:00,353.44,353.44,353.29,353.29,2100.0,353.297,4
2022-01-31 05:33:00,353.29,353.29,353.29,353.29,0.0,353.29,0
2022-01-31 05:34:00,353.29,353.46,353.28,353.44,7161.0,353.389,20
2022-01-31 05:35:00,353.36,353.36,353.29,353.32,741.0,353.324,4
2022-01-31 05:36:00,353.24,353.24,353.24,353.24,300.0,353.24,2
2022-01-31 05:37:00,353.01,353.16,353.01,353.16,3721.0,353.074,10
2022-01-31 05:38:00,353.21,353.21,353.21,353.21,100.0,353.21,1
2022-01-31 05:39:00,353.13,353.13,353.06,353.06,1100.0,353.066,5
2022-01-31 05:40:00,352.97,353.03,352.97,352.98,5315.0,352.985,15
2022-01-31 05:41:00,353.12,353.24,353.11,353.24,10122.0,353.172,19
2022-01-31 05:42:00,353.31,353.45,353.31,353.45,6140.0,353.341,12
2022-01-31 05:43:00,353.49,353.5,353.41,353.42,5100.0,353.44,12
2022-01-31 05:44:00,353.34,353.34,353.34,353.34,1100.0,353.34,4
2022-01-31 05:45:00,353.34,353.34,353.34,353.34,0.0,353.34,0
2022-01-31 05:46:00,353.55,353.65,353.55,353.65,1125.0,353.63,2
2022-01-31 05:47:00,353.65,353.65,353.44,353.44,2377.0,353.509,4
2022-01-31 05:48:00,353.37,353.37,353.33,353.33,850.0,353.349,3
2022-01-31 05:49:00,353.52,353.52,353.52,353.52,260.0,353.52,1
2022-01-31 05:50:00,353.52,353.52,353.52,353.52,0.0,353.52,0
2022-01-31 05:51:00,353.6,353.69,353.6,353.69,3050.0,353.611,7
2022-01-31 05:52:00,353.42,353.42,353.42,353.42,100.0,353.42,1
2022-01-31 05:53:00,353.34,353.43,353.34,353.43,291.0,353.384,2
2022-01-31 05:54:00,353.43,353.43,353.43,353.43,0.0,353.43,0
2022-01-31 05:55:00,353.43,353.43,353.43,353.43,0.0,353.43,0
2022-01-31 05:56:00,353.5,353.5,353.46,353.5,2100.0,353.497,7
2022-01-31 05:57:00,353.5,353.5,353.5,353.5,0.0,353.5,0
2022-01-31 05:58:00,353.5,353.5,353.5,353.5,0.0,353.5,0
2022-01-31 05:59:00,353.55,353.55,353.55,353.55,500.0,353.55,1
2022-01-31 06:00:00,353.4,353.52,353.4,353.52,9413.0,353.42,22
2022-01-31 06:01:00,353.69,353.69,353.49,353.49,8433.0,353.528,17
2022-01-31 06:02:00,353.25,353.25,353.25,353.25,100.0,353.25,1
2022-01-31 06:03:00,353.32,353.33,353.21,353.33,6655.0,353.294,20
2022-01-31 06:04:00,353.3,353.3,353.28,353.28,950.0,353.297,2
2022-01-31 06:05:00,353.28,353.28,353.28,353.28,0.0,353.28,0
2022-01-31 06:06:00,353.28,353.28,353.28,353.28,0.0,353.28,0
2022-01-31 06:07:00,353.28,353.28,353.28,353.28,0.0,353.28,0
2022-01-31 06:08:00,353.54,353.54,353.51,353.51,423.0,353.533,2
2022-01-31 06:09:00,353.59,353.59,353.52,353.52,950.0,353.583,3
2022-01-31 06:10:00,353.59,353.59,353.59,353.59,250.0,353.59,1
2022-01-31 06:11:00,353.59,353.59,353.59,353.59,0.0,353.59,0
2022-01-31 06:12:00,353.36,353.36,353.25,353.25,599.0,353.305,2
2022-01-31 06:13:00,353.19,353.24,353.14,353.24,1370.0,353.195,4
2022-01-31 06:14:00,353.2,353.2,353.2,353.2,300.0,353.2,2
2022-01-31 06:15:00,353.2,353.2,353.2,353.2,0.0,353.2,0
2022-01-31 06:16:00,353.22,353.41,353.22,353.41,12700.0,353.282,21
2022-01-31 06:17:00,353.47,353.47,353.47,353.47,350.0,353.47,1
2022-01-31 06:18:00,353.47,353.47,353.47,353.47,0.0,353.47,0
2022-01-31 06:19:00,353.5,353.5,353.5,353.5,450.0,353.5,1
2022-01-31 06:20:00,353.31,353.31,353.23,353.23,1200.0,353.262,4
