date,open,high,low,close,volume,average,barCount
2022-10-14 04:00:00,269.39,269.4,269.1,269.15,2711.0,269.301,10
2022-10-14 04:01:00,269.15,269.21,269.1,269.17,3370.0,269.152,14
2022-10-14 04:02:00,269.08,269.14,268.99,268.99,1990.0,269.068,6
2022-10-14 04:03:00,268.99,268.99,268.9,268.9,1120.0,268.98,3
2022-10-14 04:04:00,268.79,268.83,268.77,268.8,2130.0,268.798,8
2022-10-14 04:05:00,268.84,268.84,268.84,268.84,320.0,268.84,1
2022-10-14 04:06:00,268.84,268.84,268.84,268.84,0.0,268.84,0
2022-10-14 04:07:00,268.9,268.9,268.9,268.9,100.0,268.9,1
2022-10-14 04:08:00,268.77,268.82,268.77,268.82,3988.0,268.811,9
2022-10-14 04:09:00,268.77,268.77,268.76,268.76,1850.0,268.761,4
2022-10-14 04:10:00,268.84,268.89,268.84,268.87,1900.0,268.855,4
2022-10-14 04:11:00,268.84,268.9,268.51,268.51,3850.0,268.767,11
2022-10-14 04:12:00,268.6,268.6,268.6,268.6,100.0,268.6,1
2022-10-14 04:13:00,268.81,268.83,268.81,268.83,423.0,268.821,2
2022-10-14 04:14:00,268.8,268.8,268.72,268.75,1450.0,268.777,4
2022-10-14 04:15:00,268.75,268.75,268.75,268.75,0.0,268.75,0
2022-10-14 04:16:00,268.4,268.4,268.4,268.4,200.0,268.4,2
2022-10-14 04:17:00,268.44,268.44,268.44,268.44,100.0,268.44,1
2022-10-14 04:18:00,268.75,268.79,268.65,268.65,3200.0,268.695,5
2022-10-14 04:19:00,268.65,268.65,268.65,268.65,0.0,268.65,0
2022-10-14 04:20:00,268.65,268.65,268.65,268.65,0.0,268.65,0
2022-10-14 04:21:00,268.2,268.2,267.99,267.99,2100.0,268.038,5
2022-10-14 04:22:00,267.93,268.1,267.9,268.08,3097.0,268.025,7
2022-10-14 04:23:00,267.98,267.98,267.98,267.98,400.0,267.98,1
2022-10-14 04:24:00,267.89,267.89,267.79,267.84,3586.0,267.843,10
2022-10-14 04:25:00,267.89,267.89,267.63,267.65,6241.0,267.723,13
2022-10-14 04:26:00,267.67,267.74,267.64,267.73,3190.0,267.7,8
2022-10-14 04:27:00,267.66,267.73,267.66,267.73,4200.0,267.707,11
2022-10-14 04:28:00,267.82,267.82,267.82,267.82,180.0,267.82,1
2022-10-14 04:29:00,267.82,267.82,267.82,267.82,0.0,267.82,0
2022-10-14 04:30:00,267.82,267.82,267.82,267.82,0.0,267.82,0
2022-10-14 04:31:00,267.82,267.82,267.82,267.82,0.0,267.82,0
2022-10-14 04:32:00,267.97,267.97,267.97,267.97,100.0,267.97,1
2022-10-14 04:33:00,267.84,267.94,267.84,267.89,1620.0,267.909,5
2022-10-14 04:34:00,267.9,267.9,267.9,267.9,145.0,267.9,1
2022-10-14 04:35:00,267.9,267.9,267.9,267.9,0.0,267.9,0
2022-10-14 04:36:00,267.87,267.96,267.87,267.96,550.0,267.903,3
2022-10-14 04:37:00,267.96,267.96,267.96,267.96,0.0,267.96,0
2022-10-14 04:38:00,267.96,267.96,267.96,267.96,0.0,267.96,0
2022-10-14 04:39:00,267.97,267.97,267.95,267.95,1099.0,267.968,3
2022-10-14 04:40:00,268.03,268.03,267.92,267.92,1600.0,267.927,4
2022-10-14 04:41:00,267.85,267.85,267.85,267.85,800.0,267.85,1
2022-10-14 04:42:00,267.85,267.85,267.85,267.85,0.0,267.85,0
2022-10-14 04:43:00,267.85,267.85,267.85,267.85,0.0,267.85,0
2022-10-14 04:44:00,267.85,267.85,267.85,267.85,0.0,267.85,0
2022-10-14 04:45:00,267.85,267.85,267.85,267.85,0.0,267.85,0
2022-10-14 04:46:00,267.67,267.67,267.67,267.67,190.0,267.67,1
2022-10-14 04:47:00,267.48,267.48,267.48,267.48,300.0,267.48,1
2022-10-14 04:48:00,267.51,267.51,267.42,267.42,1130.0,267.5,3
2022-10-14 04:49:00,267.4,267.4,267.4,267.4,100.0,267.4,1
2022-10-14 04:50:00,267.47,267.47,267.31,267.31,2050.0,267.395,5
2022-10-14 04:51:00,267.38,267.38,267.37,267.38,3234.0,267.378,6
2022-10-14 04:52:00,267.27,267.27,267.06,267.06,4000.0,267.128,13
2022-10-14 04:53:00,267.14,267.14,267.14,267.14,100.0,267.14,1
2022-10-14 04:54:00,267.22,267.24,267.2,267.24,3400.0,267.225,6
2022-10-14 04:55:00,267.24,267.24,267.24,267.24,0.0,267.24,0
2022-10-14 04:56:00,267.1,267.1,267.0,267.0,2149.0,267.078,7
2022-10-14 04:57:00,267.01,267.06,267.0,267.06,2375.0,267.015,6
2022-10-14 04:58:00,267.06,267.06,266.98,266.98,1916.0,267.037,5
2022-10-14 04:59:00,267.05,267.1,267.05,267.1,1189.0,267.092,3
2022-10-14 05:00:00,267.03,267.03,266.97,266.97,649.0,266.99,3
2022-10-14 05:01:00,266.92,266.96,266.91,266.91,2555.0,266.933,5
2022-10-14 05:02:00,266.97,266.97,266.8,266.8,1060.0,266.868,5
2022-10-14 05:03:00,266.8,266.8,266.8,266.8,0.0,266.8,0
2022-10-14 05:04:00,266.87,266.87,266.87,266.87,1000.0,266.87,2
2022-10-14 05:05:00,266.81,266.9,266.81,266.88,3299.0,266.87,10
2022-10-14 05:06:00,266.89,267.01,266.89,266.99,5780.0,266.962,14
2022-10-14 05:07:00,267.08,267.08,267.05,267.08,2680.0,267.079,7
2022-10-14 05:08:00,267.12,267.12,267.11,267.11,4600.0,267.12,8
2022-10-14 05:09:00,267.14,267.15,267.14,267.15,1600.0,267.143,4
2022-10-14 05:10:00,267.15,267.15,267.15,267.15,0.0,267.15,0
2022-10-14 05:11:00,267.15,267.15,267.15,267.15,0.0,267.15,0
2022-10-14 05:12:00,267.2,267.26,267.2,267.26,3450.0,267.242,6
2022-10-14 05:13:00,267.36,267.36,267.33,267.33,1900.0,267.344,3
2022-10-14 05:14:00,267.33,267.33,267.33,267.33,0.0,267.33,0
2022-10-14 05:15:00,267.12,267.14,267.12,267.14,2900.0,267.136,4
2022-10-14 05:16:00,267.18,267.18,267.18,267.18,200.0,267.18,1
2022-10-14 05:17:00,267.25,267.35,267.25,267.35,1700.0,267.288,3
2022-10-14 05:18:00,267.48,267.51,267.48,267.51,1099.0,267.507,3
2022-10-14 05:19:00,267.51,267.51,267.51,267.51,800.0,267.51,3
2022-10-14 05:20:00,267.35,267.35,267.35,267.35,300.0,267.35,2
2022-10-14 05:21:00,267.47,267.47,267.47,267.47,800.0,267.47,1
2022-10-14 05:22:00,267.45,267.45,267.45,267.45,734.0,267.45,1
2022-10-14 05:23:00,267.49,267.52,267.49,267.51,2498.0,267.498,6
2022-10-14 05:24:00,267.51,267.52,267.46,267.46,500.0,267.492,3
2022-10-14 05:25:00,267.3,267.3,267.3,267.3,200.0,267.3,1
2022-10-14 05:26:00,267.14,267.17,267.13,267.16,6100.0,267.158,12
2022-10-14 05:27:00,267.16,267.16,267.16,267.16,3300.0,267.16,26
2022-10-14 05:28:00,267.09,267.09,267.03,267.03,900.0,267.083,3
2022-10-14 05:29:00,267.0,267.04,266.95,266.96,3040.0,266.983,10
2022-10-14 05:30:00,266.92,266.99,266.92,266.99,300.0,266.943,2
2022-10-14 05:31:00,266.97,266.97,266.97,266.97,374.0,266.97,1
2022-10-14 05:32:00,267.01,267.01,267.01,267.01,100.0,267.01,1
2022-10-14 05:33:00,267.11,267.19,267.06,267.19,2247.0,267.121,5
2022-10-14 05:34:00,267.12,267.12,267.12,267.12,1000.0,267.12,2
2022-10-14 05:35:00,267.03,267.03,266.91,266.91,500.0,266.934,3
2022-10-14 05:36:00,266.9,267.13,266.9,267.11,1300.0,267.093,4
2022-10-14 05:37:00,267.11,267.11,266.93,266.93,1850.0,266.998,6
2022-10-14 05:38:00,266.92,266.92,266.92,266.92,300.0,266.92,1
2022-10-14 05:39:00,266.99,267.0,266.99,267.0,1830.0,266.995,5
2022-10-14 05:40:00,267.0,267.0,267.0,267.0,1000.0,267.0,2
2022-10-14 05:41:00,266.95,266.95,266.95,266.95,145.0,266.95,1
2022-10-14 05:42:00,267.05,267.05,266.86,266.86,2359.0,266.903,8
2022-10-14 05:43:00,266.96,267.01,266.96,267.01,290.0,266.993,2
2022-10-14 05:44:00,266.94,266.94,266.94,266.94,190.0,266.94,1
2022-10-14 05:45:00,266.87,267.5,266.87,267.43,7250.0,267.058,20
2022-10-14 05:46:00,267.1,267.22,267.1,267.22,2235.0,267.122,7
2022-10-14 05:47:00,267.1,267.15,266.66,267.15,6725.0,266.76,18
2022-10-14 05:48:00,267.15,267.21,267.1,267.21,10370.0,267.163,19
2022-10-14 05:49:00,267.45,267.48,267.42,267.48,973.0,267.438,4
